Threshold,Accuracy,Precision,Recall,F1,Balanced_Accuracy,MCC
0.3,0.6636757425742574,0.6069551152446422,0.9288366336633663,0.7341648324773783,0.6636757425742574,0.3861203808695346
0.31,0.666769801980198,0.609508329947176,0.9282178217821783,0.7358351729212657,0.6667698019801981,0.39129632520061663
0.32,0.6676980198019802,0.6105220228384992,0.9263613861386139,0.7359882005899705,0.6676980198019802,0.39191487948953774
0.33,0.6686262376237624,0.6117261172611727,0.9232673267326733,0.7358816276202219,0.6686262376237624,0.3918808203011431
0.34,0.666769801980198,0.6114096734187681,0.9152227722772277,0.7330855018587361,0.666769801980198,0.38434882543475724
0.35,0.6676980198019802,0.6123548922056384,0.9139851485148515,0.7333664349553128,0.6676980198019802,0.38539289922026976
0.36,0.6664603960396039,0.6119900083263947,0.9096534653465347,0.7317073170731707,0.6664603960396039,0.38102785680536216
0.37,0.6680074257425742,0.6135508155583438,0.9077970297029703,0.7322186174195159,0.6680074257425742,0.3829235210124129
0.38,0.6658415841584159,0.6129848229342327,0.8997524752475248,0.7291875626880642,0.6658415841584159,0.37528242107049453
0.39,0.6649133663366337,0.6130674586338566,0.8941831683168316,0.7274100176189278,0.6649133663366337,0.3711448094803677
0.4,0.6646039603960396,0.6135781383432963,0.8892326732673267,0.7261243052046488,0.6646039603960396,0.36848785932353273
0.41,0.661200495049505,0.6122361051271004,0.8793316831683168,0.7218694437388875,0.661200495049505,0.3582951789831801
0.42,0.6599628712871287,0.6119532265049805,0.8743811881188119,0.72,0.6599628712871287,0.35414223689123114
0.43,0.6584158415841584,0.6116928446771379,0.8675742574257426,0.7175025588536336,0.6584158415841584,0.3488178713784132
0.44,0.6590346534653465,0.6128182616330115,0.8638613861386139,0.7170005136106831,0.6590346534653465,0.34866798489164763
0.45,0.6587252475247525,0.6133451171011931,0.8589108910891089,0.7156483629801496,0.6587252475247525,0.34642816994389336
0.46,0.6577970297029703,0.6131322094055013,0.8551980198019802,0.7142118863049096,0.6577970297029703,0.3434976678905235
0.47,0.6574876237623762,0.6135653726015172,0.8508663366336634,0.7129893699766658,0.6574876237623762,0.34155451200412784
0.48,0.656559405940594,0.6137589928057554,0.8446782178217822,0.7109375,0.6565594059405941,0.3379503179172664
0.49,0.6574876237623762,0.615314907113729,0.8403465346534653,0.7104368297148836,0.6574876237623762,0.338418957321991
0.5,0.6571782178217822,0.6155595996360328,0.8372524752475248,0.7094913476664919,0.6571782178217822,0.3369687282528135
0.51,0.656559405940594,0.6157365050320219,0.8329207920792079,0.708048395581273,0.656559405940594,0.3346259335208638
0.52,0.650680693069307,0.6173493975903614,0.7926980198019802,0.6941208344622054,0.650680693069307,0.31430640497499845
0.53,0.6550123762376238,0.6457242582897034,0.6868811881188119,0.6656671664167916,0.6550123762376239,0.3106564131160034
0.54,0.6543935643564357,0.7033414832925835,0.5340346534653465,0.6071051705944425,0.6543935643564356,0.3181420504308857
0.55,0.6556311881188119,0.7542972699696663,0.46163366336633666,0.5727447216890595,0.6556311881188119,0.33771877279837265
0.56,0.6543935643564357,0.7697297297297298,0.4405940594059406,0.5604092876820149,0.6543935643564357,0.3415905770858196
0.57,0.6516089108910891,0.7868852459016393,0.4158415841584158,0.5441295546558704,0.6516089108910891,0.34384381722041946
0.58,0.6469678217821783,0.7950310559006211,0.39603960396039606,0.5287071458075175,0.6469678217821782,0.3398292689842055
0.59,0.6463490099009901,0.8091503267973856,0.38304455445544555,0.5199496010079798,0.6463490099009901,0.34430699691904687
0.6,0.6463490099009901,0.8174496644295302,0.37685643564356436,0.5158831003811944,0.6463490099009901,0.3474922408903905
0.61,0.6454207920792079,0.824585635359116,0.3694306930693069,0.5102564102564102,0.6454207920792079,0.3487906294681271
0.62,0.6451113861386139,0.833570412517781,0.3626237623762376,0.5053902544200086,0.6451113861386139,0.35173919517755087
0.63,0.6441831683168316,0.8396501457725948,0.3564356435643564,0.5004344048653345,0.6441831683168318,0.35261002798871227
0.64,0.6417079207920792,0.8459214501510574,0.3465346534653465,0.4916593503072871,0.6417079207920793,0.351131604989798
0.65,0.6379950495049505,0.8484375,0.33601485148514854,0.48138297872340424,0.6379950495049505,0.3462799715155924
0.66,0.6345915841584159,0.851373182552504,0.3261138613861386,0.4715883668903803,0.6345915841584158,0.3420378970352502
0.67,0.6327351485148515,0.8557213930348259,0.3193069306930693,0.4650743578188373,0.6327351485148515,0.3407244844385044
0.68,0.6296410891089109,0.8630849220103987,0.30816831683168316,0.454172366621067,0.6296410891089109,0.3385274217973243
0.69,0.6225247524752475,0.8626373626373627,0.29146039603960394,0.4357076780758557,0.6225247524752475,0.3269985752396836
0.7,0.6178836633663366,0.864244741873805,0.27970297029702973,0.42262739597942967,0.6178836633663367,0.32008817382243554
