Model,Accuracy,Precision,Recall,F1,ROC_AUC,Accuracy_Delta_pp,Precision_Delta_pp,Recall_Delta_pp,F1_Delta_pp,ROC_AUC_Delta_pp,Accuracy_Rank,Precision_Rank,Recall_Rank,F1_Rank,ROC_AUC_Rank
GCN,0.6967821782178217,0.7527821939586645,0.5860148514851485,0.6590118302018093,0.7529092965763161,0.0,0.0,0.0,0.0,0.0,1,2,2,2,1
GAT,0.6779084158415841,0.6936026936026936,0.6373762376237624,0.6643018381167365,0.7487351883393785,-1.89,-5.92,5.14,0.53,-0.42,3,3,1,1,2
HaGAT,0.6964727722772277,0.7665827036104114,0.5649752475247525,0.6505165657285358,0.7303389373590824,-0.03,1.38,-2.1,-0.85,-2.26,2,1,3,3,3
