Experiment,Model,Hidden,Output,Heads,LearningRate,Epochs,Accuracy,Precision,Recall,F1,ROC_AUC
GCN_BASE,GCN,128,64,-,0.001,100,0.6800742574257426,0.7217987804878049,0.5860148514851485,0.6468579234972678,0.7395946935349476
GAT_BASE,GAT,128,64,4,0.001,100,0.6707920792079208,0.6830238726790451,0.6373762376237624,0.6594110115236875,0.7444324162459564
GCN_BASE,GCN,128,64,-,0.001,100,0.692759900990099,0.7450826121164438,0.5860148514851485,0.6560443366816765,0.7570897231276346
GCN_BASE,GCN,128,64,-,0.001,100,0.687809405940594,0.7358197358197358,0.5860148514851485,0.6524285222183948,0.7502680497010097
GCN_BASE,GCN,128,64,-,0.001,100,0.6785272277227723,0.7190584662110858,0.5860148514851485,0.6457551994544835,0.7383206915988628
GCN_BASE,GCN,128,64,-,0.001,100,0.681930693069307,0.725114854517611,0.5860148514851485,0.648186173853525,0.7430134760072542
GCN_CLEAN,GCN_CLEAN,128,64,-,0.001,100,0.7168576104746317,0.5613747954173486,0.8147268408551069,0.6647286821705426,0.8332547498524707
GAT_CLEAN,GAT_CLEAN,128,64,4,0.001,100,0.6260229132569558,0.4713375796178344,0.7030878859857482,0.5643469971401335,0.7361077750199424
HAGAT_BASE,HaGAT,128,64,4,0.001,99,0.5585106382978723,0.5451674036639292,0.7062193126022913,0.6153297682709448,0.611815970706175
