Model,Heads,Hidden,Output,LearningRate,Epochs,BestEpoch,BestLoss,Accuracy,Precision,Recall,F1,ROC_AUC
HaGAT,1,128,64,0.001,100,100,0.5423529744148254,0.7156559405940595,0.8266166822867854,0.5457920792079208,0.6574729780096906,0.7773946794431918
HaGAT,2,128,64,0.001,100,99,0.558922529220581,0.7017326732673267,0.7641815235008104,0.5835396039603961,0.6617543859649123,0.7522403211082247
HaGAT,4,128,64,0.001,100,100,0.5648691058158875,0.7004950495049505,0.7515527950310559,0.599009900990099,0.6666666666666666,0.7441438798892266
HaGAT,8,128,64,0.001,100,100,0.5603954792022705,0.7122524752475248,0.8030035335689046,0.5625,0.6615720524017468,0.7468419915939614
