Threshold,Accuracy,Precision,Recall,F1,Balanced_Accuracy,MCC
0.3,0.7342202970297029,0.683115626511853,0.8737623762376238,0.7667662231876188,0.7342202970297029,0.4878234558400859
0.31,0.7391707920792079,0.6916212196331185,0.8632425742574258,0.7679603633360859,0.7391707920792079,0.49378558312396176
0.32,0.7459777227722773,0.7014698428788647,0.8564356435643564,0.7712454722764001,0.7459777227722773,0.5044181685691749
0.33,0.7521658415841584,0.710812209001552,0.8502475247524752,0.7743026204564666,0.7521658415841583,0.5143243740273764
0.34,0.7599009900990099,0.7208201892744479,0.8483910891089109,0.7794201250710631,0.7599009900990099,0.5281389640987518
0.35,0.7654702970297029,0.729903536977492,0.8428217821782178,0.7823090178058587,0.7654702970297029,0.5374104640965603
0.36,0.7694925742574258,0.7370713119216113,0.8378712871287128,0.7842455835505358,0.7694925742574257,0.5440971775470419
0.37,0.7725866336633663,0.7435046987285793,0.8323019801980198,0.7854014598540145,0.7725866336633663,0.5491034532408604
0.38,0.7784653465346535,0.7525252525252525,0.8298267326732673,0.7892878163625662,0.7784653465346535,0.5598925109558542
0.39,0.7824876237623762,0.7592277115275412,0.8273514851485149,0.7918270654427007,0.7824876237623762,0.5672633993794418
0.4,0.7877475247524752,0.7675489067894131,0.8254950495049505,0.7954680977936792,0.7877475247524752,0.5771421111691742
0.41,0.7896039603960396,0.771461716937355,0.823019801980198,0.7964071856287425,0.7896039603960396,0.5805057785730616
0.42,0.7923886138613861,0.7768014059753954,0.8205445544554455,0.7980740294914234,0.792388613861386,0.5857066111039024
0.43,0.7961014851485149,0.7826343768458358,0.8199257425742574,0.8008461770927773,0.7961014851485149,0.5928763803636191
0.44,0.7973391089108911,0.7858417608566329,0.817450495049505,0.8013345465574765,0.7973391089108911,0.5951598587687604
0.45,0.7998143564356436,0.7902935889754344,0.8162128712871287,0.8030441400304414,0.7998143564356436,0.5999514671320325
0.46,0.8001237623762376,0.7918170878459687,0.8143564356435643,0.8029286150091519,0.8001237623762376,0.600490855704057
0.47,0.801980198019802,0.7961165048543689,0.8118811881188119,0.803921568627451,0.801980198019802,0.6040788428726784
0.48,0.8035272277227723,0.7989031078610603,0.8112623762376238,0.8050353085661652,0.8035272277227723,0.6071271116862084
0.49,0.8032178217821783,0.7998776009791921,0.8087871287128713,0.8043076923076923,0.8032178217821782,0.6064732669119547
0.5,0.8050742574257426,0.8046971569839307,0.8056930693069307,0.8051948051948052,0.8050742574257426,0.6101489821380991
0.51,0.8053836633663366,0.8063314711359404,0.8038366336633663,0.8050821196157422,0.8053836633663367,0.6107702502536517
0.52,0.8053836633663366,0.8086303939962477,0.8001237623762376,0.8043545878693623,0.8053836633663367,0.6108011251978198
0.53,0.8041460396039604,0.8093140339836375,0.7957920792079208,0.8024960998439937,0.8041460396039604,0.6083770007592737
0.54,0.8035272277227723,0.8102466793168881,0.7926980198019802,0.8013762902721301,0.8035272277227723,0.6071968862264411
0.55,0.8022896039603961,0.8117421825143587,0.7871287128712872,0.7992459943449576,0.8022896039603961,0.6048573279435416
0.56,0.8010519801980198,0.8128617363344052,0.7821782178217822,0.7972248502049827,0.8010519801980198,0.6025333809821867
0.57,0.7985767326732673,0.8135152696556205,0.7747524752475248,0.7936608557844691,0.7985767326732673,0.5978325047553735
0.58,0.7948638613861386,0.8124590163934426,0.7667079207920792,0.7889207258834766,0.7948638613861385,0.5906649739492265
0.59,0.7911509900990099,0.8134576948700866,0.755569306930693,0.7834456207892204,0.7911509900990099,0.5837820582000752
0.6,0.7880569306930693,0.8134680134680135,0.7475247524752475,0.7791035149951628,0.7880569306930694,0.5780161882156981
0.61,0.7843440594059405,0.8132242672119973,0.7382425742574258,0.7739215050275705,0.7843440594059405,0.5711209608464881
0.62,0.7797029702970297,0.8130193905817175,0.7264851485148515,0.7673202614379085,0.7797029702970297,0.5626017472838467
0.63,0.7797029702970297,0.8165266106442577,0.7215346534653465,0.7660972404730617,0.7797029702970297,0.5632303644902534
0.64,0.7781559405940595,0.8199288256227758,0.7128712871287128,0.76266137040715,0.7781559405940595,0.5611154874849117
0.65,0.7722772277227723,0.8230543318649045,0.6936881188118812,0.7528542646071189,0.7722772277227723,0.5514083204603022
0.66,0.7657797029702971,0.8256254738438211,0.6738861386138614,0.7420783645655877,0.7657797029702971,0.5407708598630213
0.67,0.7564975247524752,0.8256087981146897,0.6503712871287128,0.7275874004845967,0.7564975247524752,0.5249562500423026
0.68,0.75,0.8295269168026101,0.6293316831683168,0.7156931738212526,0.75,0.5152294291696288
0.69,0.744430693069307,0.8336148648648649,0.6107673267326733,0.705,0.744430693069307,0.507324999887626
0.7,0.739480198019802,0.8412698412698413,0.5903465346534653,0.6938181818181818,0.739480198019802,0.5018011952978414
